"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Estonia","EST","Rural population (% of total population)","SP.RUR.TOTL.ZS","28.769","28.954","29.14","29.326","29.513","29.7","29.889","30.077","30.267","30.457","30.632","30.758","30.884","31.011","31.138","31.265","31.393","31.521","31.649","31.777","31.906","32.035","32.026","31.878","31.731","31.584","31.437",
"Ethiopia","ETH","Rural population (% of total population)","SP.RUR.TOTL.ZS","87.379","87.133","86.884","86.63","86.373","86.173","85.994","85.814","85.631","85.447","85.26","85.073","84.882","84.69","84.496","84.3","84.101","83.884","83.49","83.09","82.681","82.265","81.84","81.425","81.002","80.572","80.134",
"European Union","EUU","Rural population (% of total population)","SP.RUR.TOTL.ZS","29.5779875290171","29.4086419524444","29.2665663363297","29.1516887373424","29.0191573287576","28.8893797975005","28.7538748711744","28.631205115523","28.5042495709486","28.3783148985348","28.2287601986253","28.0574486168876","27.8193856028941","27.5876158419849","27.3588439226969","27.1289209990314","26.9003407912243","26.6692358670845","26.4391558575404","26.2180036250385","25.9955136828924","25.7769540939179","25.5726575213775","25.3756189970311","25.1826841211596","24.9773884304567","24.7666870950502",
"Finland","FIN","Rural population (% of total population)","SP.RUR.TOTL.ZS","20.633","20.157","19.872","19.591","19.312","19.037","18.777","18.534","18.293","18.054","17.817","17.632","17.497","17.362","17.228","17.095","16.963","16.832","16.701","16.571","16.23","15.687","15.159","14.875","14.825","14.775","14.725",
"Fiji","FJI","Rural population (% of total population)","SP.RUR.TOTL.ZS","58.389","57.619","56.844","56.067","55.287","54.504","53.718","53.268","52.877","52.485","52.092","51.7","51.308","50.915","50.521","50.129","49.736","49.343","48.854","48.342","47.829","47.317","46.804","46.294","45.784","45.274","44.765",
"France","FRA","Rural population (% of total population)","SP.RUR.TOTL.ZS","25.944","25.771","25.599","25.428","25.257","25.088","24.918","24.75","24.583","24.386","24.129","23.873","23.62","23.368","23.117","22.87","22.623","22.379","22.132","21.883","21.631","21.378","21.122","20.865","20.606","20.345","20.083",
"Faroe Islands","FRO","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.406","68.846","68.128","67.404","66.67","65.929","65.178","64.646","64.346","64.14","63.663","62.825","61.978","61.286","60.753","60.219","59.853","59.659","59.464","59.269","59.074","58.912","58.775","58.637","58.499","58.362","58.223",
"Micronesia, Fed. Sts.","FSM","Rural population (% of total population)","SP.RUR.TOTL.ZS","74.182","74.248","74.314","74.38","74.446","74.932","75.527","76.111","76.686","77.251","77.67","77.67","77.67","77.67","77.67","77.67","77.676","77.683","77.689","77.695","77.702","77.695","77.676","77.645","77.601","77.544","77.474",
"Gabon","GAB","Rural population (% of total population)","SP.RUR.TOTL.ZS","30.857","29.538","28.251","27.001","26.079","25.203","24.346","23.51","22.694","21.898","21.121","20.367","19.632","18.917","18.222","17.548","16.893","16.258","15.641","15.045","14.467","13.908","13.366","12.844","12.349","11.882","11.441",
"United Kingdom","GBR","Rural population (% of total population)","SP.RUR.TOTL.ZS","21.86","21.888","21.828","21.768","21.707","21.647","21.587","21.528","21.468","21.409","21.349","21.249","20.953","20.661","20.371","20.085","19.801","19.521","19.243","18.969","18.698","18.43","18.163","17.898","17.635","17.374","17.114",
"Georgia","GEO","Rural population (% of total population)","SP.RUR.TOTL.ZS","44.962","45.201","45.441","45.68","45.92","46.159","46.4","46.64","46.88","47.121","47.362","47.602","47.559","47.17","46.782","46.395","46.008","45.621","45.235","44.85","44.465","44.081","43.697","43.315","42.933","42.552","42.163",
"Ghana","GHA","Rural population (% of total population)","SP.RUR.TOTL.ZS","63.559","62.83","62.095","61.356","60.61","59.86","59.104","58.346","57.582","56.816","56.071","55.399","54.725","54.049","53.37","52.692","52.012","51.331","50.649","49.969","49.287","48.606","47.927","47.252","46.581","45.914","45.251",
"Gibraltar","GIB","Rural population (% of total population)","SP.RUR.TOTL.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Guinea","GIN","Rural population (% of total population)","SP.RUR.TOTL.ZS","71.974","71.688","71.399","71.11","70.818","70.525","70.23","69.948","69.677","69.405","69.131","68.856","68.58","68.302","68.023","67.743","67.461","67.178","66.894","66.609","66.322","66.034","65.745","65.455","65.164","64.859","64.54",
"Gambia, The","GMB","Rural population (% of total population)","SP.RUR.TOTL.ZS","61.688","60.59","59.48","58.414","57.528","56.638","55.742","54.845","53.943","53.039","52.132","51.225","50.317","49.445","48.712","47.98","47.249","46.519","45.789","45.063","44.338","43.616","42.895","42.18","41.472","40.772","40.082",
"Guinea-Bissau","GNB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.17","67.61","66.729","66.365","65.998","65.629","65.258","64.886","64.512","64.135","63.757","63.378","62.996","62.613","62.228","61.843","61.455","61.066","60.675","60.284","59.889","59.492","59.092","58.69","58.285","57.877","57.467",
"Equatorial Guinea","GNQ","Rural population (% of total population)","SP.RUR.TOTL.ZS","65.255","64.252","63.234","62.208","61.169","59.506","57.813","56.107","54.384","52.65","50.908","49.168","47.427","45.693","43.967","42.26","40.569","38.9","37.255","35.642","34.06","32.512","31","30.456","29.917","29.384","28.862",
"Greece","GRC","Rural population (% of total population)","SP.RUR.TOTL.ZS","28.533","28.365","28.243","28.122","28.002","27.881","27.761","27.642","27.522","27.403","27.284","27.087","26.697","26.311","25.927","25.548","25.173","24.801","24.432","24.068","23.708","23.351","22.996","22.645","22.298","21.954","21.613",
"Grenada","GRD","Rural population (% of total population)","SP.RUR.TOTL.ZS","66.573","66.497","66.256","66.015","65.773","65.53","65.286","65.041","64.796","64.55","64.302","64.081","64.087","64.093","64.099","64.105","64.111","64.117","64.123","64.129","64.135","64.141","64.131","64.104","64.062","64.003","63.928",
