measure,country,sex,age,cause,metric,year,value,upper_ci,lower_ci
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0006557324797714,0.0008251722560202,0.0005176860361162
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,0.8339150661707753,1.045977693210549,0.6565692937063224
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,21491.62633365949,32066.995317842782,13870.079456163923
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0023918920179923,0.0035672290026973,0.0015423750485316
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,3.0417648690559944,4.538523902271319,1.963067837016078
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Number,2002,1322886.7164442926,1806620.8560587843,986928.0172450236
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0020720896522984,0.0027739287834175,0.0015597562324186
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Rate,2002,187.2315420596614,255.6956726470204,139.68244769086473
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,172194.52174275613,221818.43680031132,137562.33744075362
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0002697342343631,0.0003394316940438,0.0002184421429367
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,24.37113128384775,31.3945309625722,19.469549620689968
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,1131298.3328815508,1569940.4421435369,804562.0117182203
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0017733898113719,0.0024821549308084,0.0012837221291195
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,160.1155478862625,222.1976880336593,113.87172027966244
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,86260.82137863954,133078.9876270679,55634.78366104416
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0011610348856281,0.0015724163181221,0.0007897549852312
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,12.20871477904,18.83500964929,7.87413329314
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Number,2002,556465.4281141313,899207.2315938218,342524.583593386
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0074424331109282,0.0095505460693614,0.0054086045961959
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Rate,2002,78.75797595786001,127.26710043248,48.47838078827
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,301353.0976620995,435867.2129077522,189344.4637186875
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0040398620644799,0.0051905505849214,0.0030415652796209
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,42.65127503236,61.68940196581,26.79840645599
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Number,2002,766421.288330162,1123289.8716108878,494219.1535495052
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0013606076421304,0.0019909527285068,0.0008763836187479
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Rate,2002,108.47356610179652,158.98208987009804,69.94810143925956
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,85933.70036411672,106974.4960320116,68237.56529505838
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0001525588022911,0.0001900276229556,0.0001209172764381
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,12.1624165048028,15.140374156120783,9.657837226554854
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,829945.2352194514,1231008.4039173184,527886.3025975566
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0014734864010357,0.0021955753151306,0.000935507568373
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,117.46427285389544,174.22776938402166,74.71309919353594
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2002,5904748.849335545,7654555.309363613,4520900.579993689
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2002,0.0084284458702866,0.0109203458404722,0.0064490274270939
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2002,835.71421406941,1083.36879986614,639.8546274361
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Number,2002,11751173.43883081,14271539.611753978,9214884.3628419
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0167738031817376,0.0203761696940522,0.0131331708114987
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Rate,2002,1663.17364640003,2019.88752011688,1304.20616346781
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,1140491.8295638482,1456143.98771251,858314.4002587935
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,0.0016279115925185,0.0020767801341275,0.001224711061964
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,161.41672699657002,206.09178464889,121.47943337462002
Incidence,African Region,Both,All ages,Rheumatic heart disease,Number,2002,1358511.7398927994,1627797.7688696743,1109153.777937236
Incidence,African Region,Both,All ages,Rheumatic heart disease,Percent,2002,0.0003134619188073,0.0003848516952149,0.0002513658875247
Incidence,African Region,Both,All ages,Rheumatic heart disease,Rate,2002,192.27364278775,230.38638353398,156.98137236018
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2002,107873.56354646668,136972.2525951391,81086.83518419275
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2002,2.48758286937e-05,3.23991241448e-05,1.856982172e-05
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2002,15.26762148202,19.38603340254,11.47642727344
Deaths,African Region,Both,All ages,Rheumatic heart disease,Number,2003,16826.40206423591,24675.852232692974,11121.242891229982
Deaths,African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0018788768843101,0.0027614937596595,0.0012411937537993
Deaths,African Region,Both,All ages,Rheumatic heart disease,Rate,2003,2.319413781667124,3.401411158749021,1.532993442847326
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,5998.277899631123,7571.367899966495,4685.26153232726
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.000669760114606,0.0008435907822647,0.0005233020139513
Deaths,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,0.826824913226364,1.0436654839349233,0.6458338584391928
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,21409.3519962026,31658.46100807876,13523.948463215582
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0023906879801146,0.0035356049568867,0.0015151353470052
Deaths,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,2.9511446289578367,4.363919897324978,1.8641913065187747
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Number,2003,1313940.9682305383,1796464.4035818717,968046.4543284504
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0020713899413511,0.0027651119554128,0.0015553752754537
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Rheumatic heart disease,Rate,2003,181.11850521440329,247.63132843464575,133.43912019288612
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,176014.6513068266,225920.9173527651,140859.41557319532
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0002775063571152,0.0003473495486229,0.0002233345921849
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,24.262513546143857,31.141778692465703,19.41658522783445
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,1125819.5498641068,1567949.220805402,800867.7231009002
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0017763816571475,0.0024826858752816,0.0012749760383742
DALYs (Disability-Adjusted Life Years),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,155.18714991217377,216.13194655677705,110.39458270171497
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Number,2003,573505.1641105243,927688.7443092169,352845.52771930164
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0075181537034135,0.0096556082646383,0.0054577658367807
YLDs (Years Lived with Disability),African Region,Both,All ages,Rheumatic heart disease,Rate,2003,79.05408276927,127.87606348844,48.63753859366
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,88739.32682116661,136445.65232311646,57182.77431361005
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.001170615051031,0.0015810740961543,0.0008032233451737
YLDs (Years Lived with Disability),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,12.2321585339,18.80817570141,7.88228608294
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,304872.3974597762,442711.4885515049,192388.6970299864
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.004005917083445,0.0051417873187297,0.0030186908120682
YLDs (Years Lived with Disability),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,42.024744067,61.02499654582,26.51957284895
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Number,2003,740435.8041200152,1086875.7955367002,478990.611007146
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0013278227468814,0.0019469205863857,0.0008617941660556
YLLs (Years of Life Lost),African Region,Both,All ages,Rheumatic heart disease,Rate,2003,102.06442244512762,149.818998114064,66.02584558587752
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,87275.32448565989,110573.80169864184,69502.50038981086
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0001565034115706,0.0001974226535082,0.0001246090889471
YLLs (Years of Life Lost),African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,12.030355012243795,15.241903680423183,9.580482901159794
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,820947.1524043306,1189254.2583977391,525429.5338522729
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0014722858910895,0.0021358932690452,0.0009451969756088
YLLs (Years of Life Lost),African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,113.16240584516495,163.9312258380467,72.42715926194265
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Number,2003,5969619.510979953,7744997.652239084,4571871.631160214
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Percent,2003,0.0083024473854176,0.0107661236893953,0.0063543904847516
Prevalence,African Region,Both,All ages,Other cardiovascular and circulatory diseases,Rate,2003,822.8745344499499,1067.59925413672,630.2037731443801
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Number,2003,12112290.830559593,14695712.263524156,9490880.569974734
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0168457468048262,0.0204440657972782,0.0131802818678844
Prevalence,African Region,Both,All ages,Rheumatic heart disease,Rate,2003,1669.60317319839,2025.71158262527,1308.25824261888
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,1172463.0349805783,1493939.7290381407,881713.3676290531
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,0.0016306172366367,0.0020761870989069,0.0012257879002124
Prevalence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,161.6166612118,205.93020321771,121.53864673813
Incidence,African Region,Both,All ages,Rheumatic heart disease,Number,2003,1400301.720516696,1678662.4326532274,1143167.69185219
Incidence,African Region,Both,All ages,Rheumatic heart disease,Percent,2003,0.0003174303626592,0.0003902377206677,0.0002547561580886
Incidence,African Region,Both,All ages,Rheumatic heart disease,Rate,2003,193.02279219643,231.39306705016,157.57848226355
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Number,2003,110906.47397726304,140703.62905719137,83370.49963431388
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Percent,2003,2.51264586916e-05,3.27652833892e-05,1.87261302951e-05
Incidence,African Region,Both,All ages,Atrial fibrillation and flutter,Rate,2003,15.2877604634,19.39511103561,11.49209944574
Deaths,African Region,Both,All ages,Rheumatic heart disease,Number,2004,16553.697980669192,24079.170594412848,10760.288614542986
